Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.015286,0.015616,0.013080,0.014648,0.014648,157382
2021-01-09,0.014669,0.018235,0.013884,0.015435,0.015435,123543
2021-01-10,0.016150,0.016150,0.012316,0.013448,0.013448,95071
2021-01-11,0.013445,0.013552,0.010773,0.012846,0.012846,66554
2021-01-12,0.012866,0.013743,0.011349,0.012095,0.012095,58367
2021-01-13,0.012106,0.013352,0.011670,0.013298,0.013298,54773
2021-01-14,0.013301,0.013802,0.012525,0.012923,0.012923,40832
2021-01-15,0.012924,0.013352,0.011152,0.011917,0.011917,87794
2021-01-16,0.011916,0.012881,0.011786,0.012356,0.012356,50112
2021-01-17,0.012353,0.012589,0.011587,0.011825,0.011825,73482
2021-01-18,0.011877,0.017897,0.011493,0.014920,0.014920,431527
2021-01-19,0.014906,0.015486,0.012483,0.013951,0.013951,210753
2021-01-20,0.013951,0.014333,0.012362,0.013801,0.013801,68016
2021-01-21,0.013793,0.020761,0.012779,0.016455,0.016455,704048
2021-01-22,0.016458,0.016848,0.013653,0.015720,0.015720,342174
2021-01-23,0.015721,0.018206,0.014708,0.016567,0.016567,248477
2021-01-24,0.016128,0.018236,0.015986,0.016734,0.016734,304799
2021-01-25,0.016727,0.017342,0.014746,0.015055,0.015055,149997
2021-01-26,0.015066,0.018996,0.014630,0.017063,0.017063,412145
2021-01-27,0.017090,0.017713,0.015219,0.015754,0.015754,224271
2021-01-28,0.015753,0.016835,0.015188,0.015752,0.015752,130320
2021-01-29,0.015745,0.016211,0.013742,0.014732,0.014732,196410
2021-01-30,0.014731,0.022246,0.013917,0.022246,0.022246,1270269
2021-01-31,0.022146,0.034511,0.015962,0.016988,0.016988,2090647
2021-02-01,0.016988,0.023681,0.016159,0.022654,0.022654,790395
2021-02-02,0.022664,0.027860,0.021702,0.026203,0.026203,640752
2021-02-03,0.026192,0.027060,0.023793,0.026246,0.026246,370736
2021-02-04,0.026249,0.026377,0.021732,0.023806,0.023806,361026
2021-02-05,0.023805,0.034061,0.021269,0.032152,0.032152,1370809
2021-02-06,0.032167,0.037392,0.025612,0.027051,0.027051,1144353
2021-02-07,0.027049,0.029458,0.022675,0.028143,0.028143,1060229
2021-02-08,0.028147,0.029830,0.025530,0.028228,0.028228,440178
2021-02-09,0.028222,0.033229,0.026847,0.031806,0.031806,651209
2021-02-10,0.031815,0.037305,0.029159,0.035111,0.035111,1277296
2021-02-11,0.035111,0.035251,0.030721,0.033359,0.033359,788075
2021-02-12,0.033363,0.035543,0.031652,0.035201,0.035201,543691
2021-02-13,0.035190,0.041401,0.033028,0.039527,0.039527,1512655
2021-02-14,0.039814,0.048263,0.036053,0.043385,0.043385,2674190
2021-02-15,0.043606,0.055985,0.034649,0.047545,0.047545,3119814
2021-02-16,0.047245,0.058198,0.044961,0.050542,0.050542,3559325
2021-02-17,0.050499,0.050548,0.040534,0.045304,0.045304,1363614
2021-02-18,0.045311,0.051594,0.038055,0.050962,0.050962,1812184
2021-02-19,0.051217,0.079296,0.044984,0.070068,0.070068,7743810
2021-02-20,0.069761,0.093524,0.064758,0.079859,0.079859,10367877
2021-02-21,0.080004,0.084848,0.066274,0.069364,0.069364,4289496
2021-02-22,0.069648,0.072986,0.048489,0.067019,0.067019,4361252
2021-02-23,0.067639,0.071692,0.044351,0.056722,0.056722,2635588
2021-02-24,0.057016,0.062831,0.049533,0.052600,0.052600,1459871
2021-02-25,0.052218,0.056027,0.040194,0.042474,0.042474,1617842
2021-02-26,0.042458,0.043934,0.033993,0.035770,0.035770,1243710
2021-02-27,0.035899,0.045386,0.035179,0.041345,0.041345,1276898
2021-02-28,0.041342,0.041829,0.028452,0.032932,0.032932,913727
2021-03-01,0.032920,0.038802,0.031842,0.036706,0.036706,663565
2021-03-02,0.036703,0.041186,0.033472,0.035770,0.035770,880019
2021-03-03,0.035771,0.047827,0.035580,0.046009,0.046009,1767899
2021-03-04,0.045970,0.061983,0.043851,0.059118,0.059118,5640657
2021-03-05,0.059108,0.059199,0.047484,0.047529,0.047529,1646628
