,Date,Open,High,Low,Close,Adj Close,Volume
31,13/9/2020,0.049377,0.049874,0.041749,0.043616,0.043616,5931320
32,14/9/2020,0.043518,0.047696,0.041374,0.046404,0.046404,6695832
33,15/9/2020,0.046404,0.050852,0.042186,0.042232,0.042232,8213086
34,16/9/2020,0.042322,0.050256,0.040562,0.044312,0.044312,6473697
35,17/9/2020,0.044342,0.046461,0.042495,0.043874,0.043874,3595836
36,18/9/2020,0.04389,0.04704,0.043024,0.043945,0.043945,4563156
37,19/9/2020,0.043951,0.048655,0.042631,0.047067,0.047067,5332779
38,20/9/2020,0.047102,0.047966,0.042441,0.043057,0.043057,3428977
39,21/9/2020,0.043057,0.044724,0.036755,0.038494,0.038494,4823375
40,22/9/2020,0.038487,0.044682,0.036447,0.044079,0.044079,5551600
41,23/9/2020,0.044002,0.049128,0.041464,0.042677,0.042677,21916994
42,24/9/2020,0.042753,0.050945,0.042518,0.047779,0.047779,24690400
43,25/9/2020,0.047856,0.049757,0.045743,0.048685,0.048685,18271594
44,26/9/2020,0.048697,0.048959,0.045662,0.046537,0.046537,6806559
45,27/9/2020,0.046547,0.046555,0.041347,0.042921,0.042921,13927961
46,28/9/2020,0.043036,0.044967,0.041617,0.041778,0.041778,10986207
47,29/9/2020,0.041771,0.043515,0.041436,0.043318,0.043318,6167681
48,30/9/2020,0.0435,0.047894,0.042236,0.046005,0.046005,12606091
49,1/10/2020,0.045988,0.04674,0.041555,0.042374,0.042374,7339954
50,2/10/2020,0.042417,0.043305,0.039609,0.040895,0.040895,7697316
51,3/10/2020,0.040896,0.047206,0.040845,0.045338,0.045338,8605313
52,4/10/2020,0.045326,0.048792,0.042487,0.048284,0.048284,9857103
53,5/10/2020,0.04858,0.054367,0.047267,0.050576,0.050576,17201919
54,6/10/2020,0.050569,0.050802,0.045971,0.046575,0.046575,9195468
55,7/10/2020,0.046469,0.046692,0.042574,0.045167,0.045167,4512741
56,8/10/2020,0.045273,0.047716,0.043214,0.047313,0.047313,4111576
